x, y
0.5095227065305403, 93878.33385929641
0.5106507575442619, 78323.78413020242
0.5409351063808726, 77304.24043709131
0.4416040576577005, 76444.65301829555
0.5458531553950654, 75937.75447892629
0.5273826563641439, 74075.50073138444
0.4849912594853886, 73130.10015160653
0.465056946976851, 72138.41132980293
0.5912194948121137, 71989.19385690999
0.5382618749245228, 71213.86948670664
0.4172735533606933, 70967.84661098041
0.3652398741682653, 69785.12264554187
0.4800472759884305, 70296.84539400236
0.6081355086623152, 70167.50531287509
0.5593919452643833, 69457.98409771037
0.45021984918405367, 69010.10770842011
0.40263066722891044, 68084.09532144078
0.3527933021723594, 66889.07065426318
0.5107443988446287, 68190.39884638833
0.651318402198294, 68344.55546065996
0.6012359463809519, 67407.5626197564
0.4735414823041699, 67171.79524044895
0.4352552566820888, 66256.76330739383
0.3805135027587559, 65133.48880438506
0.5021982938673857, 65347.86993728133
0.6314411059572101, 65506.2024246637
0.6785711881754597, 66666.88886072884
0.5084481082675568, 63593.82641186603
0.5041695125307106, 59959.620330938524
0.5070706110837249, 62305.1348773971
0.5070706110837249, 58275.237559645815
1.1416252407848448, 47711.978997927145
1.1433464193586067, 41237.00335598517
1.140177661105601, 40089.475193342376
1.136597514645064, 38627.00898722834
1.1415987123826268, 37017.56206735408
1.0866168170272748, 34196.33394218812
1.2014883621483254, 33556.40864754794
1.086686503576385, 33039.64950731168
1.1948922927072632, 32572.18747744697
1.0924399992872966, 32014.264896412653
1.204502305397342, 31548.158478143523
1.0986230967356208, 30909.765614002703
1.194485655855353, 30386.128218409718
1.0898132915214038, 29790.67287806813
1.1618917522405612, 28966.26063319602
1.1185601808682708, 27825.15394374187
1.123156721485432, 25804.42035973116
1.1655732609543494, 24870.068014457265
1.1315266303583909, 23808.09367840441
1.1402489314399182, 22323.274615871906
1.133866277055506, 20282.242221708206
1.144316091851623, 19037.973489830187
1.1110502673627403, 17859.54622375329
1.0983902803101844, 16913.31754210939
1.2100471374072248, 17218.059028796462
1.170892007625926, 16201.68628802633
1.1274226469406219, 15111.656685908367
1.1345948182507488, 13785.273255118766
1.1419776329934135, 11168.665859360877
1.1434600559472126, 9764.32886786179
2.471155509889749, 21503.604064602605
2.5968688566456617, 21561.668445619503
2.681334101469159, 20925.527075520044
2.5498755738746715, 20237.72216872022
2.5111682593606655, 19772.56762554973
2.633691070816976, 19935.747897877176
2.429874148467985, 20645.876191278174
2.3019292483553384, 20100.042129298385
2.3865374297937714, 19600.35780120301
2.3427220120407273, 18503.143457628452
2.304859250988381, 17318.26230156389
2.4754725124178663, 18663.771643778127
2.5870196923893185, 19062.94031904275
2.711107283630194, 19136.449831304108
2.4285774243297125, 17890.90210935547
2.55615409438172, 17783.53767098529
2.488507856564493, 17068.28752333837
2.384965522975774, 16766.761193718212
2.33755134928601, 15573.395677254335
2.682451065986431, 17927.444682801623
2.628957532779405, 17164.08211143842
2.8034178084768144, 18363.981086396663
2.7593371067015893, 17344.817553928668
2.712580203872751, 16137.162123058308
2.5856085397698365, 15994.761018905765
2.4717011238935775, 15764.312941620103
2.509155268362505, 14218.562084847868
2.4134194120593366, 14871.377477572998
2.645136690562026, 13977.416463884018
2.6082705263512165, 15241.536064692144
4.00513977894318, 4761.986519000728
3.8975136551980825, 20746.185555387863
4.01221613124828, 21070.123681061083
4.105748942328441, 20259.709599404232
4.204584266281807, 19612.130993212475
3.9928127827304065, 19741.544748882985
3.959154575456477, 19056.739869483823
3.866946600702013, 19644.925005898665
4.088022426398532, 19258.001039720235
4.177025611786529, 18561.52316569041
4.019584691924082, 17180.52332250746
4.053263092459401, 18199.409838692878
3.8580164278120606, 18664.496601283594
3.919942825354026, 18190.987364909888
3.810723017744334, 17912.420969944487
3.7564657041212075, 18499.945982451914
3.782247747560476, 16555.49502051005
3.8966374260322816, 17295.962490816546
3.8694188894102184, 16015.342739304791
3.9617048655861296, 16295.842354284763
3.9617048655861296, 15633.051428405179
3.9307216715269075, 14236.591719069122
3.83865663338738, 14896.132124101037
3.9557621075429754, 13213.871179653586
4.135823439625118, 17447.322419426855
4.226707369946488, 16986.499939398767
4.099798661305554, 16338.2317394823
4.081012593072128, 15884.921115882782
4.042605009908557, 14596.762985106894
4.075889839819924, 13373.019980975037
4.190348412948236, 15754.484757552127
4.169185083119028, 14615.402644546162
